, Município , Confirmados , Novos Confirmados , Incidência /100 mil hab , Óbitos , Novos Óbitos , Mortalidade /100 mil hab
, São Borja , 35 , 0 , 58.1 , 2 , 0 , 3.3
, Santo Antônio da Patrulha , 34 , 4 , 79.3 , 1 , 0 , 2.3
, Alegrete , 34 , 1 , 46.2 , 5 , 0 , 6.8
, Três Palmeiras , 34 , 1 , 796.1 , 0 , 0 , 0
, Charqueadas , 33 , 0 , 80.9 , 1 , 0 , 2.5
, Sananduva , 32 , 0 , 196.7 , 0 , 0 , 0
, São Jerônimo , 32 , 2 , 132.0 , 1 , 1 , 4.1
, Canguçu , 31 , 0 , 55.3 , 2 , 0 , 3.6
, Ronda Alta , 31 , 3 , 292.4 , 0 , 0 , 0
, Sertão , 31 , 1 , 572.5 , 1 , 0 , 18.5
, Porto Xavier , 30 , 0 , 292.8 , 0 , 0 , 0
, Constantina , 30 , 0 , 302.7 , 1 , 0 , 10.1
, Cidreira , 29 , 0 , 178.4 , 1 , 0 , 6.2
, Roca Sales , 29 , 1 , 254.5 , 2 , 0 , 17.6
, Ibirapuitã , 27 , 2 , 672.8 , 2 , 0 , 49.8
, Gaurama , 27 , 0 , 487.9 , 0 , 0 , 0
, General Câmara , 27 , 0 , 322.0 , 1 , 0 , 11.9
, Vila Maria , 27 , 1 , 619.6 , 1 , 0 , 22.9
, Coxilha , 27 , 0 , 979.7 , 1 , 0 , 36.3
, Gramado dos Loureiros , 27 , 2 , 1296.8 , 0 , 0 , 0
, Panambi , 26 , 1 , 59.5 , 0 , 0 , 0
, Paraí , 25 , 7 , 326.5 , 0 , 0 , 0
, Terra de Areia , 25 , 5 , 223.1 , 0 , 0 , 0
, Encruzilhada do Sul , 25 , 2 , 96.6 , 1 , 0 , 3.9
, Condor , 25 , 1 , 370.2 , 1 , 0 , 14.8
, Faxinalzinho , 25 , 0 , 1079.9 , 0 , 0 , 0
, Salto do Jacuí , 25 , 0 , 200.8 , 0 , 0 , 0
, Dois Irmãos , 24 , 1 , 73.5 , 1 , 0 , 3.1
, São Valentim , 24 , 1 , 727.5 , 1 , 0 , 30.3
, Nova Hartz , 24 , 0 , 111.0 , 0 , 0 , 0
, Progresso , 23 , 0 , 368.4 , 0 , 0 , 0
, Santa Clara do Sul , 23 , 0 , 348.3 , 0 , 0 , 0
, Imbé , 23 , 1 , 100.9 , 0 , 0 , 0
, Muçum , 23 , 0 , 464.3 , 0 , 0 , 0
, Getúlio Vargas , 23 , 1 , 141.9 , 1 , 0 , 6.2
, Lavras do Sul , 23 , 0 , 307.5 , 0 , 0 , 0
, Presidente Lucena , 23 , 7 , 792.8 , 0 , 0 , 0
, Tenente Portela , 22 , 0 , 163.1 , 0 , 0 , 0
, Dom Pedrito , 22 , 0 , 57.2 , 1 , 0 , 2.6
, Restinga Seca , 22 , 0 , 139.3 , 1 , 0 , 6.3
, Parobé , 22 , 0 , 37.8 , 1 , 0 , 1.7
, Canela , 22 , 0 , 48.9 , 1 , 0 , 2.2
, Entre Rios do Sul , 21 , 0 , 752.1 , 0 , 0 , 0
, Estação , 20 , 0 , 335.7 , 0 , 0 , 0
, Benjamin Constant do Sul , 20 , 0 , 1003.0 , 0 , 0 , 0
, Chiapetta , 20 , 2 , 532.5 , 0 , 0 , 0
, Jaguari , 19 , 1 , 175.1 , 4 , 0 , 36.9
, Esperança do Sul , 19 , 2 , 649.4 , 1 , 0 , 34.2
, Camargo , 19 , 0 , 695.2 , 0 , 0 , 0
, Entre-Ijuís , 19 , 2 , 224.2 , 0 , 0 , 0
, Nova Alvorada , 19 , 5 , 524.1 , 1 , 0 , 27.6
, Butiá , 19 , 12 , 90.7 , 1 , 1 , 4.8
, Mariano Moro , 18 , 0 , 886.3 , 0 , 0 , 0
, Itacurubi , 18 , 0 , 519.5 , 2 , 0 , 57.7
, Espumoso , 17 , 0 , 109.1 , 1 , 0 , 6.4
, Horizontina , 17 , 6 , 88.0 , 1 , 0 , 5.2
, Maquiné , 17 , 0 , 253.2 , 0 , 0 , 0
, Santa Vitória do Palmar , 17 , 1 , 57.3 , 0 , 0 , 0
, Taquara , 16 , 5 , 27.8 , 0 , 0 , 0
, Rolante , 16 , 0 , 74.9 , 0 , 0 , 0
, Júlio de Castilhos , 15 , 0 , 77.7 , 0 , 0 , 0
, Feliz , 15 , 0 , 110.7 , 0 , 0 , 0
, Floriano Peixoto , 15 , 0 , 849.4 , 0 , 0 , 0
, Quaraí , 15 , 0 , 66.1 , 2 , 0 , 8.8
, Gramado , 15 , 1 , 41.4 , 0 , 0 , 0
, Colinas , 15 , 0 , 615.3 , 0 , 0 , 0
, Capitão , 15 , 0 , 544.1 , 0 , 0 , 0
, São Lourenço do Sul , 14 , 0 , 32.1 , 0 , 0 , 0
, Tunas , 14 , 0 , 306.4 , 2 , 0 , 43.8
